smiles,EF,SA,KP,AB,PA,BW,DKO
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.965781577,1.005183201,0.995572026,1.002363569,1.031637337,1.098849025,0.859904117
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.004866732,1.028848152,0.966252743,1.03204454,1.020281756,1.047218944,1.132333917
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,1.018735658,1.046452566,0.996483004,1.039129391,1.027852143,1.032088611,1.076782589
COc1cc2c(c(O)c1OC)C(=O)CC(c1ccc(O)cc1)O2,1.041430265,0.967954194,0.979331301,1.021031931,1.009270283,1.118035225,0.987748269
N[C@@H]1CONC1=O,1.033865396,1.035197285,0.979243699,1.099706924,0.9937854,1.063440686,1.121680237
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,1.055299191,1.015284095,1.02987046,1.043231325,1.020281756,1.043890993,1.036450803
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.13868926,0.033765844,0.998147612,0.882572156,1.033701988,0.969752332,0.081424549
CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,0.849786923,1.017592871,0.051402003,0.043816566,0.033378526,0.036148857,0.077619664
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,1.02882215,1.028848152,0.947022216,1.021911379,0.996882377,0.74104195,0.99535804
O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,0.992258618,1.008069171,0.980542049,0.973389181,0.999979353,1.120622261,0.777718591
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.978389692,0.968819985,0.991494185,1.057048254,1.013055477,0.990779213,1.037972757
Cc1cc(=O)oc2cc(O)ccc12,0.973346446,0.989598966,0.892718475,0.887697689,0.970730129,0.857609806,0.967962864
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,1.059081625,1.067520144,0.988309758,0.956336693,0.988967881,1.050162708,1.048626436
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,1.003605921,1.063479787,0.980912401,1.110907769,1.010302609,0.991140849,1.064606955
CNC(C)[C@H](O)c1ccccc1,0.956955897,1.01095514,0.977400069,0.970355098,0.997226485,1.084466771,1.066889887
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,0.127341957,0.027993905,1.015981892,1.024665593,0.978988734,0.784210602,1.016665398
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.013692412,1.01095514,0.963966679,0.976221059,1.046434003,1.046097422,1.054714253
CC(=O)Oc1cc(OC(C)=O)c2c(c1)O[C@H](c1ccc(OC(C)=O)c(OC(C)=O)c1)[C@H](OC(C)=O)C2,1.031343773,1.004894604,1.021165568,0.996126909,1.040584159,1.016233812,1.104938741
C=C(C)[C@H]1CC=C(C)CC1,1.001084298,0.995659502,1.00994663,0.976309443,1.020969973,1.050165759,1.187124268
COc1cc(-c2coc3cc(O)c(OC)c(O)c3c2=O)cc(O)c1OC,1.432281817,1.033177106,1.244965357,1.108644126,1.032669663,1.143490222,1.128529031
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.006127544,1.017592871,0.987090049,0.960409434,1.015120128,0.997413228,0.988509246
COc1c(-c2ccccc2)oc2c(ccc3occc32)c1=O,1.079254608,0.870697019,0.985302633,1.018854221,1.018905322,1.033934997,0.799786926
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.949391028,0.976323506,0.982118327,0.922022505,0.994473617,1.021385199,0.161327144
O=C(/C=C/c1ccc(O)cc1)c1ccccc1,0.982172126,0.57661672,0.925836189,0.800254576,1.002044005,0.824783727,0.077619664
CC1=NCCc2c1[nH]c1cc(O)ccc21,1.004866732,1.016149886,1.004366217,1.006804831,0.997570594,1.043155914,1.032645917
COc1ccc2c(=O)ccoc2c1,1.021257281,1.01672708,1.094702347,0.930679737,1.007893849,1.015132189,1.006772696
CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O,1.006127544,1.00345162,0.975486394,0.980090999,0.9937854,1.056801233,1.031123963
C=CCc1ccc(OC)cc1,0.997301863,1.021633228,0.994655249,1.039505994,1.011679043,1.08336024,1.075260635
COc1ccccc1O,1.050255945,1.025673585,1.000201569,0.984361784,0.98690323,0.987820592,1.032645917
C/C=C/c1ccc2c(c1)OCO2,1.035126207,0.84501189,0.951780903,1.019210189,0.982773928,0.983034688,1.006011719
COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,0.906523438,1.001142844,1.026809142,0.961699779,0.990344315,1.011067434,1.059280116
COc1ccc(/C=C/C(=O)c2cc(O)ccc2O)cc1,0.9683032,0.937651513,0.960083446,0.969726818,0.971762455,0.957577702,0.643025645
COc1cc(C=O)cc(OC)c1OC,0.979650503,1.02711657,0.969659223,0.999346895,1.010646718,1.090738088,1.078304543
OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,1.032604584,1.029425346,1.06741638,1.053004626,0.998947028,1.08926687,1.017426375
CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1,1.067907305,0.891476,0.999661892,1.142990802,0.991032532,0.865724192,0.443649646
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,1.013692412,1.003740217,0.966812858,0.991282988,0.998602919,1.066026661,0.17806864
CNC[C@H](O)c1ccc(O)c(O)c1,0.996041052,0.990753353,0.958069219,1.012819803,1.032669663,1.079663223,1.114070466
CN1CCC[C@H]1c1cccnc1,0.992258618,0.995948099,1.061628855,1.049668059,1.046778112,1.069716911,1.077543566
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.128602769,0.484554291,0.896006677,0.045031326,0.84753928,0.392105699,0.082946503
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1.043951887,1.005760395,0.961479739,1.037089489,1.017184779,0.890451937,1.071455749
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.996041052,0.996236696,1.002993756,1.01835704,1.011334935,1.065282826,0.732820942
CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,1.013692412,0.036363217,1.272109307,1.144687657,0.998258811,0.745842314,0.971006773
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1.014953224,0.970551567,0.986906553,1.014506958,1.014087803,1.015105126,0.582147477
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,1.042691076,0.983249833,1.006873338,0.951962918,0.987247338,1.038728595,0.136975877
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,1.051516756,1.01672708,1.036437517,1.010271187,1.00307633,1.059014561,0.734342896
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,0.945608594,0.982961236,1.048469772,1.088804931,1.028196252,1.042405447,0.170458869
